,tAtm,Prec,rSoil,rRoot,hCritA,hb
0,1,0,0.02644148,0.005506052,1000000,-809
1,2,0,0.026115374,0.005438145,1000000,-811
2,3,0,0.027819962,0.0057931,1000000,-809
3,4,0,0.028776428,0.005992271,1000000,-810
4,5,0,0.0297823,0.006201729,1000000,-810
5,6,0.01,0.03072165,0.006397335,1000000,-811
6,7,0.0118,0.030336738,0.006317182,1000000,-809
7,8,0,0.033447923,0.006965041,1000000,-808
8,9,0,0.031392551,0.00653704,1000000,-808
9,10,0,0.030511453,0.006353564,1000000,-809
10,11,0,0.035339222,0.007358877,1000000,-809
11,12,0,0.034234398,0.007128813,1000000,-808
12,13,0,0.035760497,0.007446601,1000000,-810
13,14,0.1871,0.030688884,0.006390512,1000000,-806
14,15,0,0.026414185,0.005500368,1000000,-808
15,16,0,0.029567585,0.006157018,1000000,-810
16,17,0,0.032379119,0.006742478,1000000,-809
17,18,0,0.032764085,0.006822642,1000000,-806
18,19,0,0.036061685,0.007509319,1000000,-808
19,20,0,0.02803728,0.005838354,1000000,-809
20,21,0,0.037916229,0.007895501,1000000,-807
21,22,0,0.038150013,0.007944183,1000000,-806
22,23,0,0.035034011,0.007295321,1000000,-807
23,24,0,0.026624896,0.005544245,1000000,-806
24,25,0,0.030276161,0.006304568,1000000,-806
25,26,0,0.029428574,0.006128071,1000000,-807
26,27,0,0.032601742,0.006788836,1000000,-808
27,28,0,0.035979817,0.007492271,1000000,-807
28,29,0,0.041780716,0.008700224,1000000,-805
29,30,0,0.047047952,0.009797049,1000000,-805
30,31,0.0361,0.052629996,0.010959428,1000000,-806
31,32,0.2546,0.043154901,0.008986378,1000000,-808
32,33,0.0129,0.040769227,0.008489596,1000000,-806
33,34,0.0142,0.046829586,0.009751577,1000000,-805
34,35,0,0.051318093,0.010686243,1000000,-806
35,36,0,0.05748522,0.011970457,1000000,-806
36,37,0,0.055798476,0.011619217,1000000,-805
37,38,0,0.053649219,0.011171666,1000000,-804
38,39,0,0.057827979,0.012041832,1000000,-804
39,40,0,0.040059853,0.008341879,1000000,-803
40,41,0,0.053701892,0.011182634,1000000,-804
41,42,0,0.051108194,0.010642535,1000000,-805
42,43,0,0.041496598,0.00864106,1000000,-804
43,44,0,0.064906974,0.013515929,1000000,-804
44,45,0,0.060575189,0.012613898,1000000,-805
45,46,0,0.066328955,0.013812036,1000000,-804
46,47,0,0.074697377,0.015554637,1000000,-804
47,48,0,0.077660949,0.016171758,1000000,-804
48,49,0,0.069808456,0.014536591,1000000,-803
49,50,0,0.078312638,0.016307462,1000000,-806
50,51,0,0.083334862,0.017353267,1000000,-804
51,52,0,0.081838252,0.01704162,1000000,-805
52,53,0,0.070676336,0.014717314,1000000,-806
53,54,0,0.087291233,0.018177124,1000000,-804
54,55,0,0.069633586,0.014500177,1000000,-801
55,56,0,0.083328488,0.01735194,1000000,-800
56,57,0,0.087123331,0.018142161,1000000,-801
57,58,0,0.093535263,0.019477352,1000000,-800
58,59,0,0.09120426,0.018991955,1000000,-800
59,60,0,0.099594964,0.020739196,1000000,-804
60,61,0,0.101323092,0.021099053,1000000,-801
61,62,0,0.107268538,0.022337106,1000000,-800
62,63,0,0.105068698,0.021879021,1000000,-801
63,64,0,0.119528515,0.024890067,1000000,-805
64,65,0,0.127458698,0.026541411,1000000,-804
65,66,0.0668,0.138731462,0.0288888,1000000,-803
66,67,0.0001,0.178236726,0.037115194,1000000,-803
67,68,0.0007,0.151022508,0.031448231,1000000,-806
68,69,0.0006,0.164152161,0.034182289,1000000,-806
69,70,0,0.153926112,0.032052864,1000000,-807
70,71,0,0.055145708,0.011483288,1000000,-805
71,72,0,0.053164158,0.011070659,1000000,-805
72,73,0.0055,0.159857858,0.033288063,1000000,-806
73,74,0,0.171682209,0.035750311,1000000,-805
74,75,0.0001,0.091610518,0.019076552,1000000,-811
75,76,0,0.10064897,0.020958677,1000000,-813
76,77,0,0.088195334,0.01836539,1000000,-805
77,78,0,0.101953345,0.021230294,1000000,-807
78,79,0,0.114040153,0.023747196,1000000,-816
79,80,0.0002,0.09737766,0.020277475,1000000,-821
80,81,0,0.151656896,0.031580333,1000000,-822
81,82,0,0.178764408,0.037225076,1000000,-825
82,83,0,0.151239385,0.033318713,1000000,-826
83,84,0.0001,0.063649397,0.01454576,1000000,-821
84,85,0,0.168141246,0.041174666,1000000,-826
85,86,0,0.185293409,0.045062379,1000000,-834
86,87,0.0001,0.206785785,0.056894887,1000000,-837
87,88,0,0.142689361,0.0454666,1000000,-840
88,89,0,0.078870246,0.030395539,1000000,-845
89,90,0,0.144557897,0.066274886,1000000,-842
90,91,0,0.198287626,0.10644787,1000000,-842
91,92,0,0.177974922,0.110211529,1000000,-844
92,93,0,0.183299296,0.129111885,1000000,-840
93,94,0,0.230985481,0.182679394,1000000,-797
94,95,0,0.199551982,0.175102783,1000000,-803
95,96,0,0.124134168,0.119554775,1000000,-806
96,97,0,0.185508678,0.194199818,1000000,-811
97,98,0,0.209011072,0.235763667,1000000,-799
98,99,0,0.196338336,0.236791086,1000000,-790
99,100,0,0.237837765,0.304583519,1000000,-804
100,101,0.2,0.215815561,0.291698703,1000000,-807
101,102,1.1,0.109423096,0.155260371,1000000,-812
102,103,0,0.168986509,0.250527864,1000000,-820
103,104,0,0.102039414,0.157406809,1000000,-843
104,105,0,0.170038864,0.271939104,1000000,-849
105,106,0,0.159453813,0.263531855,1000000,-849
106,107,0,0.140518101,0.239319874,1000000,-858
107,108,0,0.140498782,0.245972514,1000000,-848
108,109,0,0.186108362,0.334190396,1000000,-844
109,110,0,0.209937109,0.38591275,1000000,-846
110,111,0,0.198397993,0.372704069,1000000,-850
111,112,0,0.093512794,0.179252497,1000000,-858
112,113,0,0.197217587,0.385232012,1000000,-854
113,114,0,0.183222471,0.36426637,1000000,-866
114,115,0,0.143291912,0.289644151,1000000,-871
115,116,0,0.122279407,0.251066978,1000000,-868
116,117,0,0.139461708,0.290616575,1000000,-874
117,118,0.14,0.051231389,0.108269721,1000000,-865
118,119,0,0.104869694,0.224614992,1000000,-860
119,120,0,0.10742069,0.233044615,1000000,-865
120,121,0,0.191319923,0.420191309,1000000,-875
121,122,0,0.181179926,0.402653848,1000000,-861
122,123,0,0.209799588,0.471610783,1000000,-863
123,124,0,0.233377776,0.530443654,1000000,-869
124,125,0,0.213373936,0.4902121,1000000,-875
125,126,0,0.190051714,0.441221481,1000000,-885
126,127,0,0.071267519,0.167152719,1000000,-887
127,128,0,0.04572679,0.108327369,1000000,-881
128,129,1.225,0.044658692,0.106841647,1000000,-868
129,130,0,0.099931845,0.24140068,1000000,-854
130,131,0,0.093081251,0.227007464,1000000,-858
131,132,0,0.056916832,0.140124731,1000000,-854
132,133,0,0.172923675,0.429720497,1000000,-851
133,134,0,0.136572145,0.342547221,1000000,-855
134,135,0,0.183466916,0.464428652,1000000,-860
135,136,0,0.19542835,0.499268705,1000000,-864
136,137,0,0.203771706,0.525369155,1000000,-867
137,138,0,0.169169962,0.440160885,1000000,-881
138,139,0,0.179774451,0.472043431,1000000,-883
139,140,0,0.185596917,0.491805127,1000000,-931
140,141,0,0.200742508,0.536829346,1000000,-978
141,142,0,0.186982088,0.504639454,1000000,-959
142,143,0,0.157395594,0.428717058,1000000,-974
143,144,0,0.175072656,0.481292258,1000000,-989
144,145,0,0.129754775,0.360034388,1000000,-1005
145,146,0,0.178686622,0.500452094,1000000,-1005
146,147,0,0.191346647,0.540956935,1000000,-982
147,148,0,0.203327633,0.580273369,1000000,-952
148,149,0,0.159704376,0.460120662,1000000,-967
149,150,0,0.189750646,0.551927679,1000000,-970
150,151,0,0.200133968,0.58774618,1000000,-924
151,152,0,0.176791163,0.524235405,1000000,-922
152,153,0,0.186448365,0.558275059,1000000,-915
153,154,0,0.191644236,0.579477403,1000000,-916
154,155,0,0.105289487,0.321517105,1000000,-969
155,156,0,0.177295444,0.546791828,1000000,-950
156,157,0,0.16834759,0.524400815,1000000,-966
157,158,0,0.154547765,0.486269794,1000000,-941
158,159,0,0.167892171,0.533615547,1000000,-969
159,160,0.00666667,0.145477858,0.467092445,1000000,-1035
160,161,0.2,0.123001625,0.3989772,1000000,-992
161,162,0,0.168287225,0.551495269,1000000,-1009
162,163,0,0.115621675,0.382828291,1000000,-1053
163,164,1,0.153556183,0.513718668,1000000,-1041
164,165,0.045,0.142852237,0.482898397,1000000,-968
165,166,0,0.152365576,0.520453306,1000000,-1041
166,167,0.045,0.137910307,0.476026695,1000000,-978
167,168,0,0.16180907,0.564401794,1000000,-1040
168,169,0,0.170162439,0.599803632,1000000,-1062
169,170,0,0.163674033,0.583030759,1000000,-1018
170,171,0,0.166427642,0.599110913,1000000,-1055
171,172,0,0.157125809,0.571610772,1000000,-1050
172,173,3.83667,0.151265587,0.556111952,1000000,-1040
173,174,0.363333,0.168765813,0.627004781,1000000,-986
174,175,0.0316667,0.179326796,0.67326766,1000000,-960
175,176,0,0.151239553,0.573789711,1000000,-947
176,177,0.088,0.108875762,0.417396302,1000000,-941
177,178,0.09,0.053554335,0.207454923,1000000,-964
178,179,0.146,0.125767009,0.492249928,1000000,-970
179,180,0.00166667,0.131246359,0.519003602,1000000,-949
180,181,0.00166667,0.062212987,0.248541491,1000000,-938
181,182,0,0.142238406,0.574032016,1000000,-954
182,183,0.005,0.129288208,0.527038356,1000000,-985
183,184,1.08667,0.038487047,0.158460339,1000000,-956
184,185,0.0916667,0.129521738,0.538549736,1000000,-935
185,186,1.70167,0.088385387,0.371100102,1000000,-924
186,187,1.40833,0.0739538,0.313505084,1000000,-915
187,188,0.00333333,0.146974761,0.628987574,1000000,-916
188,189,0.00166667,0.150465595,0.649963678,1000000,-910
189,190,0.00333333,0.123301716,0.537534752,1000000,-906
190,191,0.628333,0.027796725,0.122277103,1000000,-906
191,192,0.178333,0.0489876,0.217408154,1000000,-898
192,193,10.755,0.025424518,0.113815167,1000000,-891
193,194,0.085,0.045696553,0.206302112,1000000,-888
194,195,0,0.132234768,0.601934562,1000000,-886
195,196,0,0.132938602,0.610020115,1000000,-883
196,197,1.7775,0.027991349,0.129451717,1000000,-878
197,198,0.0025,0.125727573,0.585871599,1000000,-875
198,199,0,0.084862935,0.398355086,1000000,-873
199,200,0,0.036162219,0.170952625,1000000,-871
200,201,0.0575,0.032699344,0.155636566,1000000,-868
201,202,0,0.106354297,0.509516889,1000000,-867
202,203,2.77,0.074443105,0.358867066,1000000,-863
203,204,0.77,0.080747642,0.39157487,1000000,-859
204,205,0.0025,0.125683629,0.612922307,1000000,-858
205,206,0,0.119577809,0.586247069,1000000,-857
206,207,1.175,0.084693813,0.417294379,1000000,-853
207,208,0,0.11618666,0.575123453,1000000,-859
208,209,4.9875,0.03660776,0.181987268,1000000,-877
209,210,0.00666667,0.108592316,0.541969703,1000000,-882
210,211,0.00333333,0.106561224,0.533733217,1000000,-846
211,212,0,0.110992321,0.557704608,1000000,-844
212,213,0,0.112014684,0.564424493,1000000,-842
213,214,0,0.104052313,0.525571522,1000000,-839
214,215,0.00333333,0.122921087,0.622130707,1000000,-850
215,216,0,0.112001316,0.567774586,1000000,-852
216,217,0,0.120204077,0.61008252,1000000,-838
217,218,0,0.108074024,0.548937528,1000000,-834
218,219,0.00333333,0.057131009,0.290280689,1000000,-833
219,220,2.15667,0.029260952,0.148658136,1000000,-832
220,221,0.806667,0.023584596,0.119753723,1000000,-830
221,222,8.07,0.024493876,0.12424586,1000000,-825
222,223,0,0.050287486,0.25471174,1000000,-823
223,224,0,0.102750732,0.519441657,1000000,-820
224,225,1.94,0.064052885,0.323034645,1000000,-819
225,226,0.005,0.064270987,0.323204482,1000000,-817
226,227,0,0.054729363,0.274300174,1000000,-830
227,228,0,0.118113182,0.589707474,1000000,-822
228,229,0,0.100085331,0.497540808,1000000,-821
229,230,0,0.075881272,0.375403795,1000000,-815
230,231,0.473333,0.039577654,0.194761953,1000000,-814
231,232,0,0.056590642,0.276867264,1000000,-815
232,233,0,0.093032248,0.452288068,1000000,-812
233,234,0.0133333,0.03105514,0.149951374,1000000,-811
234,235,0,0.10076304,0.48298478,1000000,-822
235,236,0,0.086597969,0.411845534,1000000,-823
236,237,0.336667,0.074803352,0.352793818,1000000,-811
237,238,0,0.0909187,0.425015606,1000000,-811
238,239,0.0766667,0.088779017,0.411142285,1000000,-813
239,240,3.87,0.022285328,0.102190257,1000000,-808
240,241,0.176667,0.03741207,0.169781207,1000000,-805
241,242,0.00666667,0.062416265,0.28018332,1000000,-803
242,243,0,0.092612371,0.411017178,1000000,-802
243,244,0,0.105347251,0.461999259,1000000,-832
244,245,0,0.090706169,0.392883318,1000000,-824
245,246,0,0.053293314,0.227871963,1000000,-806
246,247,0,0.093646388,0.395079553,1000000,-802
247,248,0,0.085248729,0.35468442,1000000,-802
248,249,0,0.091384713,0.374778972,1000000,-803
249,250,0,0.10153314,0.410246865,1000000,-806
250,251,0,0.080821815,0.321582001,1000000,-806
251,252,0,0.085592876,0.335210714,1000000,-815
252,253,0,0.094147482,0.362743028,1000000,-808
253,254,0,0.101885447,0.386017442,1000000,-803
254,255,0,0.090870026,0.338388277,1000000,-800
255,256,0,0.085529415,0.312900569,1000000,-828
256,257,0,0.081193694,0.291679609,1000000,-831
257,258,0,0.054557156,0.192364505,1000000,-838
258,259,0,0.102268071,0.353751532,1000000,-841
259,260,0,0.097335949,0.330149187,1000000,-828
260,261,0,0.099139439,0.329573728,1000000,-835
261,262,0,0.098130537,0.31956938,1000000,-842
262,263,0,0.075778721,0.241625116,1000000,-827
263,264,0,0.092888592,0.289841656,1000000,-816
264,265,0,0.100067477,0.305388501,1000000,-808
265,266,0,0.090838989,0.270978763,1000000,-808
266,267,0,0.079565303,0.231852474,1000000,-803
267,268,0,0.095585728,0.271895845,1000000,-801
268,269,0,0.100395273,0.278553819,1000000,-829
269,270,0,0.105142794,0.284306987,1000000,-839
270,271,0,0.105800823,0.278539918,1000000,-825
271,272,0,0.099489883,0.254734825,1000000,-810
272,273,0,0.112186633,0.279005769,1000000,-805
273,274,8.86,0.029189059,0.070408456,1000000,-801
274,275,1.89333,0.040108118,0.093679375,1000000,-798
275,276,9.71,0.031668677,0.071484575,1000000,-784
276,277,0,0.051575813,0.112263065,1000000,-783
277,278,0,0.068288308,0.142969046,1000000,-777
278,279,0,0.043999603,0.088346747,1000000,-771
279,280,0,0.08781882,0.168558342,1000000,-768
280,281,0,0.082854446,0.151460813,1000000,-765
281,282,0,0.077611648,0.134573394,1000000,-767
282,283,0,0.086062084,0.140912574,1000000,-764
283,284,0,0.096265195,0.148121661,1000000,-763
284,285,0,0.103299669,0.148607439,1000000,-762
285,286,0,0.104453334,0.139749683,1000000,-761
286,287,0,0.100145485,0.123937922,1000000,-772
287,288,0,0.085415553,0.097259634,1000000,-772
288,289,0,0.099917228,0.104141333,1000000,-757
289,290,0,0.060956685,0.057877313,1000000,-758
290,291,0,0.090100354,0.077598591,1000000,-753
291,292,0,0.096234038,0.074905221,1000000,-764
292,293,0,0.099399363,0.069722184,1000000,-761
293,294,0,0.108225383,0.068272041,1000000,-762
294,295,0,0.097100862,0.055028908,1000000,-765
295,296,0,0.095733131,0.048734532,1000000,-761
296,297,0,0.099435146,0.04551016,1000000,-758
297,298,0,0.09474613,0.03906128,1000000,-757
298,299,0.01,0.096009567,0.035757597,1000000,-755
299,300,0,0.072762656,0.023467001,1000000,-756
300,301,0,0.080614383,0.023197468,1000000,-756
301,302,0,0.089013953,0.023622951,1000000,-755
302,303,0,0.066803177,0.016407348,1000000,-751
303,304,0,0.072571318,0.016570355,1000000,-751
304,305,0,0.071831363,0.014957832,1000000,-749
305,306,0,0.083280077,0.017341859,1000000,-747
306,307,0,0.075497981,0.015721351,1000000,-750
307,308,0,0.0514804,0.010720041,1000000,-752
308,309,0,0.062293917,0.012971798,1000000,-746
309,310,0,0.073697789,0.015346488,1000000,-744
310,311,0,0.064893406,0.013513104,1000000,-744
311,312,0,0.069572802,0.014487519,1000000,-742
312,313,0,0.08653156,0.018018933,1000000,-742
313,314,0,0.063809339,0.013287362,1000000,-743
314,315,0,0.062792456,0.013075612,1000000,-742
315,316,0.2,0.057575232,0.011989201,1000000,-743
316,317,0,0.04282579,0.008917845,1000000,-744
317,318,0,0.053736232,0.011189785,1000000,-738
318,319,0,0.060008051,0.0124958,1000000,-739
319,320,0,0.063835714,0.013292855,1000000,-740
320,321,0,0.058572667,0.012196902,1000000,-742
321,322,0,0.061688667,0.012845763,1000000,-741
322,323,0,0.051745798,0.010775306,1000000,-740
323,324,0,0.056483283,0.011761818,1000000,-740
324,325,0.326667,0.057286072,0.011928987,1000000,-740
325,326,0.00666667,0.042481026,0.008846053,1000000,-737
326,327,0.01,0.045932161,0.009564701,1000000,-735
327,328,0,0.061803239,0.012869621,1000000,-736
328,329,0,0.057744957,0.012024543,1000000,-734
329,330,0,0.035491124,0.007390508,1000000,-732
330,331,0.423333,0.042828186,0.008918344,1000000,-727
331,332,0.323333,0.037315582,0.007770425,1000000,-730
332,333,0,0.031620722,0.006584553,1000000,-734
333,334,0,0.025946086,0.005402893,1000000,-729
334,335,0,0.025479487,0.005305731,1000000,-724
335,336,0,0.027723713,0.005773058,1000000,-721
336,337,0,0.027783857,0.005785582,1000000,-724
337,338,0,0.027914454,0.005812777,1000000,-724
338,339,0,0.029157822,0.00607169,1000000,-720
339,340,0,0.031112154,0.006478651,1000000,-720
340,341,0,0.035729569,0.007440161,1000000,-720
341,342,0,0.033444833,0.006964398,1000000,-721
342,343,0,0.032518513,0.006771505,1000000,-723
343,344,0,0.030280746,0.006305523,1000000,-732
344,345,0,0.024709717,0.005145437,1000000,-729
345,346,0,0.021814315,0.004542512,1000000,-725
346,347,0,0.021573542,0.004492375,1000000,-731
347,348,0,0.022258807,0.004635071,1000000,-721
348,349,0,0.021774523,0.004534226,1000000,-720
349,350,0,0.020891243,0.004350296,1000000,-721
350,351,0,0.021117234,0.004397355,1000000,-719
351,352,0,0.020072046,0.00417971,1000000,-719
352,353,0,0.022277947,0.004639057,1000000,-714
353,354,0,0.0238939,0.004975556,1000000,-712
354,355,0,0.026215035,0.005458898,1000000,-712
355,356,0,0.019306812,0.004020362,1000000,-714
356,357,0,0.018193297,0.003788488,1000000,-713
357,358,0,0.019577496,0.004076727,1000000,-713
358,359,0,0.020827203,0.004336961,1000000,-711
359,360,0,0.023407096,0.004874186,1000000,-711
360,361,0,0.026099473,0.005434834,1000000,-711
361,362,0,0.025246129,0.005257137,1000000,-718
362,363,0,0.023551485,0.004904253,1000000,-718
363,364,0,0.023685304,0.004932118,1000000,-717
364,365,0,0.02714769,0.00565311,1000000,-708
365,366,0,0.027389952,0.005506052,1000000,-708.9
366,367,0,0.027052148,0.005438145,1000000,-708.2
367,368,0,0.02881788,0.0057931,1000000,-706
368,369,0,0.029808656,0.005992271,1000000,-706.3
369,370,0,0.030850609,0.006201729,1000000,-705.1
370,371,0,0.031823654,0.006397335,1000000,-705.2
